staff_id,first_name,last_name,gender,hospital,city,state,department,job_title,education_level,hire_date,birth_date,performance_rating,night_shift,shift_type,certification_level,base_salary,adjusted_salary,termdate
HC-770487,Danielle,Johnson,Female,Metro Medical,Austin,Texas,Oncology,Oncologist,MD,2013-04-11,1983-03-23,Good,No,Day,Basic,58289,82605,
HC-872246,Jill,Rhodes,Female,Valley Hospital,Naperville,Illinois,Radiology,Radiologist,MD,2020-11-21,1981-02-01,Average,No,Day,Specialized,44165,62872,
HC-131244,Robert,Johnson,Female,Hope Wellness Center,Rochester,New York,Emergency,ER Doctor,MD,2016-03-20,1978-07-03,Average,No,Night,None,113563,162758,
HC-308496,Anthony,Gonzalez,Female,Unity Health,Orlando,Florida,Radiology,MRI Technician,Bachelor,2020-08-25,1981-07-18,Good,No,Evening,Basic,98878,114694,
HC-717889,Jeffrey,Lawrence,Male,General Health Center,San Francisco,California,Pediatrics,Pediatric Nurse,Bachelor,2021-10-22,1999-01-03,Good,No,Day,Specialized,84597,99105,
HC-391369,Linda,Wolfe,Female,Unity Health,San Francisco,California,Cardiology,Cardiologist,MD,2016-05-04,1984-02-26,Good,Yes,Day,None,89797,126969,
HC-201414,Susan,Rogers,Female,Lakeside Clinic,Los Angeles,California,Admin,Receptionist,High School,2022-02-03,1981-02-05,Outstanding,No,Evening,None,135647,143040,
HC-581741,Melanie,Munoz,Female,Lakeside Clinic,Naperville,Illinois,Pediatrics,Child Therapist,Master,2015-10-21,1981-09-23,Average,No,Day,Advanced,122397,154881,
HC-748564,Amanda,Dudley,Female,Sunrise Medical,Tampa,Florida,Cardiology,Cardiac Nurse,Bachelor,2019-05-18,1975-07-20,Average,No,Day,None,126673,148920,
HC-338968,Maria,Montgomery,Female,Hope Wellness Center,Buffalo,New York,Emergency,ER Nurse,Bachelor,2024-11-10,1995-07-30,Average,No,Day,Specialized,76434,85864,
